class,order,family,genus,species,phylum
Insecta,Hymenoptera,Formicidae,Adetomyrma,venatrix,Arthropoda
Insecta,Odonata,Gomphidae,Hemigomphus,theischingeri,Arthropoda
Insecta,Odonata,Platystictidae,Protosticta,sanguinostigma,Arthropoda
Insecta,Hymenoptera,Formicidae,Pheidole,elecebra,Arthropoda
Insecta,Coleoptera,Cerambycidae,Macrodontia,cervicornis,Arthropoda
Insecta,Hymenoptera,Formicidae,Pheidole,neokohli,Arthropoda
Insecta,Odonata,Coenagrionidae,Leptobasis,melinogaster,Arthropoda
Insecta,Hymenoptera,Formicidae,Polyergus,breviceps,Arthropoda
Insecta,Hymenoptera,Apidae,Bombus,dahlbomii,Arthropoda
Insecta,Lepidoptera,Papilionidae,Luehdorfia,japonica,Arthropoda
Insecta,Coleoptera,Lucanidae,Ceruchus,chrysomelinus,Arthropoda
Insecta,Hymenoptera,Formicidae,Polyergus,nigerrimus,Arthropoda
Insecta,Hymenoptera,Apidae,Bombus,morrisoni,Arthropoda
Branchiopoda,Notostraca,Triopsidae,Lepidurus,packardi,Arthropoda
Malacostraca,Decapoda,Palinuridae,Palinurus,elephas,Arthropoda
Insecta,Hymenoptera,Formicidae,Harpagoxenus,canadensis,Arthropoda
Insecta,Hymenoptera,Formicidae,Dorymyrmex,insanus,Arthropoda
Insecta,Phasmida,Pseudophasmatidae,Peruphasma,schultei,Arthropoda
Insecta,Coleoptera,Carabidae,Elaphrus,viridis,Arthropoda
Insecta,Hymenoptera,Apidae,Bombus,variabilis,Arthropoda
Insecta,Hymenoptera,Formicidae,Nothomyrmecia,macrops,Arthropoda
Insecta,Hymenoptera,Apidae,Bombus,mexicanus,Arthropoda
Insecta,Hymenoptera,Apidae,Bombus,crotchii,Arthropoda
Insecta,Odonata,Gomphidae,Ceratogomphus,triceraticus,Arthropoda
Insecta,Hymenoptera,Formicidae,Formica,lugubris,Arthropoda
Insecta,Lepidoptera,Nymphalidae,Parantica,nilgiriensis,Arthropoda
Arachnida,Araneae,Pisauridae,Dolomedes,plantarius,Arthropoda
Insecta,Coleoptera,Attelabidae,Trachelophorus,giraffa,Arthropoda
Arachnida,Araneae,Theraphosidae,Brachypelma,auratum,Arthropoda
Insecta,Coleoptera,Carabidae,Carabus,intricatus,Arthropoda
Insecta,Orthoptera,Tettigoniidae,Saga,pedo,Arthropoda
Insecta,Hymenoptera,Formicidae,Aneuretus,simoni,Arthropoda
Asteroidea,Forcipulatida,Asteriidae,Asterias,Asterias rubens,Echinodermata
Echinoidea,Clypeasteroida,Clypeasteridae,Clypeaster,Clypeaster subdepressus,Echinodermata
Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,Ophiura ophiura,Echinodermata
Crinoidea,Comatulida,Antedonidae,Antedon,Antedon mediterranea,Echinodermata
Holothuroidea,Synallactida,Synallactidae,Parastichopus,Parastichopus californicus,Echinodermata
Echinoidea,Arbacioida,Arbaciidae,Arbacia,Arbacia punctulata,Echinodermata
Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,Echinodermata
Ophiuroidea,Ophiurida,Ophiothrichidae,Ophiothrix,Ophiothrix fragilis,Echinodermata
Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,Cucumaria frondosa,Echinodermata
Asteroidea,Spinulosida,Asterinidae,Asterina,Asterina gibbosa,Echinodermata
Asteroidea,Velatida,Pterasteridae,Pteraster,Pteraster militaris,Echinodermata
Echinoidea,Diadematoida,Diadematidae,Diadema,Diadema setosum,Echinodermata
Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiacantha,Ophiacantha bidentata,Echinodermata
Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria,Holothuria edulis,Echinodermata
Asteroidea,Paxillosida,Luidiidae,Luidia,Luidia clathrata,Echinodermata
Echinoidea,Spatangoida,Brissidae,Brissus,Brissus unicolor,Echinodermata
Crinoidea,Cyrtocrinida,Bathycrinidae,Bathycrinus,Bathycrinus aldrichianus,Echinodermata
Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,Gorgonocephalus eucnemis,Echinodermata
Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,Mollusca
Bivalvia,Veneroida,Veneridae,Mercenaria,mercenaria,Mollusca
Gastropoda,Pulmonata,Limacidae,Limax,maximus,Mollusca
Gastropoda,Neogastropoda,Buccinidae,Busycon,carica,Mollusca
Bivalvia,Myida,Myidae,Mytilus,edulis,Mollusca
Cephalopoda,Octopoda,Octopodidae,Octopus,vulgaris,Mollusca
Gastropoda,Heterobranchia,Stylommatophora,Eobrachycera,muscosa,Mollusca
